name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	gpt	opencyc	bfo	dolce	dul	gloss	origin
hen	01792640	Hen	=									adult female chicken	base
herb	07811416	FruitOrVegetable	+			Q207123		Mx4rvWmPL5wpEbGdrcN5Y29ycA				aromatic potherb used in cookery for its savory qualities	base
herbicide	14906850	BiologicallyActiveSubstance	+		Herbicide	Q178266	3103	Mx4ry9dE6SeQRvKgDYgm_iPVNA				a chemical agent that destroys plants or inhibits their growth	base
herd	07994331	GroupOfAnimals	+			Q209542		Mx4rBhQzeDAIQdiLCaYOmt1_Hg				a group of cattle or sheep or other domestic mammals all of the same kind that are herded 	base
here-and-now	15120050	TimePoint	+									"at this time; ""the disappointments of the here and now""; ""she is studying at the moment"""	base
hero	10325013	SubjectiveAssessmentAttribute	=			Q162244		Mx8Ngh4rvszjQ5wpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiuCzSswywgR2YAAAAKzqFGOHiu9WNahnCkRsZ2tw3ljb3Jw				"a man distinguished by exceptional courage and nobility and strength; ""RAF pilots were the"	base
heroin	03516011	Heroin	=			Q60168		Mx4rv-as85wpEbGdrcN5Y29ycA				a narcotic that is considered a hard drug; a highly addictive morphine derivative; intrave	base
hidden-reserve	13369567	CurrencyMeasure	+									reserves that do not show up on the balance sheet (as by understating values)	economics
hide	01895735	Skin	+					Mx4rwDNtapwpEbGdrcN5Y29ycA				body covering of a living animal	base
hideaway	03517647	Region	+									an area where you can be alone	base
hierarchy	08376051	Organization	+		Hierarchy							the organization of people at different ranks in an administrative body	base
high-finance	01099231	FinancialTransaction	+									large and complex financial transactions (often used with the implication that those indiv	economics
high-frequency-trading						Q138372							economics
highlight	13810141	SubjectiveAssessmentAttribute	+									"the most interesting or memorable part; ""the highlight of the tour was our visit to the Va"	base
highlighter	03518943	Device	+			Q559350	6304a	Mx4rv_BHRpwpEbGdrcN5Y29ycA				a fluorescent marker used to mark important passages in a text	base
hill	09303008	Hill	=		Hill	Q54050		Mx4rvgEUypwpEbGdrcN5Y29ycA				"a local and well-defined elevation of the land; ""they loved to roam the hills of West Virg"	base
hindrance	03520811	Object	+									any obstruction that impedes or is burdensome	base
hinge	03521076	Hinge	+			Q244330	1771					a joint that holds two parts together so that one can swing relative to the other	base
hip	05556325	BodyPart	+			Q193818		Mx4rvVjhy5wpEbGdrcN5Y29ycA				either side of the body below the waist and above the thigh	base
hire-purchase	13296752	Contract	+			Q974034						"installment plan; ""we bought a car on the never-never"""	economics
hired-hand	10176679	FarmHand	=									"a hired laborer on a farm or ranch; ""the hired hand fixed the railing""; ""a ranch hand"""	base
historian	10177150	Historian	=		Historian	Q201788						a person who is an authority on history and who studies it and writes about it	base
historic-period	15254028	TimeInterval	+					Mx4rwEaQFpwpEbGdrcN5Y29ycA				"an era of history having some distinctive feature; ""we live in a litigious age"""	base
history	06155567	History	=		History	Q309		Mx4rvViJNJwpEbGdrcN5Y29ycA	BFO_0000182			"the discipline that records and interprets past events involving human beings; ""he teaches"	base
history.time	15121406	PastFn	=									"the aggregate of past events; ""a critical time in the school's history"""	base
hoard	13366912	Keeping	+		Hoard	Q164099						a secret store of valuables or money	economics
hobby	03523633	AnimalDoll	+		Hobby	Q2335617	5710a	Mx4rwPzrzpwpEbGdrcN5Y29ycA				a child's plaything consisting of an imitation horse mounted on rockers; the child straddl	base
hockey-stick	03524150	Device	+			Q1940083	6076	Mx4rvVjIx5wpEbGdrcN5Y29ycA				sports implement consisting of a stick used by hockey players to move the puck	base
hog	02395406	Pig	=			Q787						domestic swine	base
hoist	03525074	Device	+			Q1258035	131b					lifting device for raising heavy or cumbersome objects	base
holder	03525454	Holder	=			Q5879610	7016b	Mx4rwPusa5wpEbGdrcN5Y29ycA				"a holding device; ""a towel holder""; ""a cigarette holder""; ""an umbrella holder"""	base
hole	09304465	Hole	=			Q20204151						an opening into or through something	base
holiday	15183428	Holiday	+		Holiday	Q1445650		Mx4rvViptZwpEbGdrcN5Y29ycA				"a day on which work is suspended by law or custom; ""no mail is delivered on federal holida"	base
home	03528100	CareOrganization	+		Home	Q837142	536a	Mx4rvVjmiZwpEbGdrcN5Y29ycA				"an institution where people are cared for; ""a home for the elderly"""	base
home-banking	01100491	FinancialTransaction	+									banking in which transactions are conducted by means of electronic communication (via tele	economics
home-loan	13374979	Loan	+			Q3503091		Mx4rc5q7iHS7EdaAAACgyZzFrg				a loan secured by equity value in the borrower's home	economics
homecoming	00051192	Returning	+									"a coming to or returning home; ""on his return from Australia we gave him a welcoming party"	base
honey	07858978	Honey	=			Q10987	4947	Mx4rvVkFbZwpEbGdrcN5Y29ycA				a sweet yellow liquid produced by bees	base
honor	04869106	SubjectiveAssessmentAttribute	+			Q207333						"the quality of being honorable and having a good name; ""a man of honor"""	base
honorarium	13283952	Giving	+			Q1627219						a fee paid for a nominally free service	economics
honour	14436875	SubjectiveAssessmentAttribute	+			Q207333						the state of being honored	base
hood-ornament	03532187	Artifact	+			Q1247354	5995b					an ornament on the front of the hood of a car emblematic of the manufacturer	base
hook	03532342	Device	+				505408b	Mx4rvVkA_JwpEbGdrcN5Y29ycA				a curved or bent implement for suspending or pulling something	base
hoop	03533972	Artifact	+					Mx4rG_Z8dCeNQdib1a_HivbXtw				a rigid circular band of metal or wood or other material used for holding or fastening or 	base
hope	07541053	Hope	=					Mx4rvViJspwpEbGdrcN5Y29ycA				"the general feeling that some desire will be fulfilled; ""in spite of his troubles he never"	base
hope-chest	03535024	Artifact	+				6947					chest for storage of clothing (trousseau) and household goods in anticipation of marriage	base
hopeful-anticipation	14486122	Proposition	+			Q255266						anticipating with confidence of fulfillment	base
horizon	08585657	Region	+			Q17364354		Mx4rvgDvE5wpEbGdrcN5Y29ycA				the line at which the sky and Earth appear to meet	base
horizontal-bar	02790154	Device	+			Q623270		Mx4rvViYr5wpEbGdrcN5Y29ycA				a horizontal rod that serves as a support for gymnasts as they perform exercises	base
horn	01325417	Horn	=			Q65284752	3879b	Mx4rvVjfxJwpEbGdrcN5Y29ycA				one of the bony outgrowths on the heads of certain ungulates	base
horoscope	06749594	Stating	+			Q188518		Mx4rwPfNGpwpEbGdrcN5Y29ycA				a prediction of someone's future based on the relative positions of the planets	base
horse	02374451	Horse	=		Horse	Q726	4037a	Mx4rwQBg3ZwpEbGdrcN5Y29ycA				solid-hoofed herbivorous quadruped domesticated since prehistoric times	base
horse-blanket	04124202	Artifact	+				6898a					stable gear consisting of a blanket placed under the saddle	base
horse-trade	01109934	Transaction	+			Q5905705						the swapping of horses (accompanied by much bargaining)	economics
horseradish-sauce	07830841	PreparedFood	+				6782					creamy white sauce with horseradish and mustard	base
horseshoe	03539433	Artifact	+			Q11175795		Mx4rsj2dpr2mEdmAAAACs6hRjg				U-shaped plate nailed to underside of horse's hoof	base
hosier	10186578	Position	+									a tradesman who sells hosiery and (in England) knitwear	economics
hosiery	03540267	Clothing	+			Q2524539	215					socks and stockings and tights collectively (the British include underwear)	base
hospital	03540595	HospitalBuilding	=	schema:Hospital	Hospital	Q16917						a health facility where patients receive treatment	base
hospital-bed	03540914	Artifact	+			Q142259	4435b	Mx4rvVjrlJwpEbGdrcN5Y29ycA				a single bed with a frame in three sections so the head or middle or foot can be raised as	base
hospitalization-insurance	13346912	Obligation	+									insurance that pays all or part of a patient's hospital expense	economics
host	10187130	SocialRole	+			Q1495428						a person who invites guests to a social event (such as a party in his or her own home) and	base
hostage	10187557	SocialRole	+			Q192620						a prisoner who is held by one party to insure that another party will meet specified terms	base
hostel	03541696	HotelBuilding	+	schema:Hostel	Hostel	Q256020		Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-GaG9zdGVsHiu9ZdiAnCkRsZ2tw3ljb3JwD6Q4MTZkNzg0Ni0xN2IwLTQxZDktOWJlNC05ODg0Mjc3NDhhYWY				a hotel providing overnight lodging for travelers	base
hostility	13980288	SubjectiveAssessmentAttribute	+			Q2729863		Mx4rwPSE65wpEbGdrcN5Y29ycA				a state of deep-seated ill-will	base
hot-cereal	07703177	Food	+				4690b	Mx4rwQB-05wpEbGdrcN5Y29ycA				a cereal that is served hot	base
hot-chocolate	07922764	Beverage	+			Q13261	415	Mx4rvVkEEpwpEbGdrcN5Y29ycA				a beverage made from cocoa powder and milk and sugar; usually drunk hot	base
hot-plate	03543254	Device	+				747					a portable electric appliance for heating or cooking or keeping food warm	base
hot-sauce	07830593	PreparedFood	+			Q522171	4614	Mx4rBTf0BMYRQdifcpDak2Xafw				a pungent peppery sauce	base
hot-stock	13336933	SubjectiveAssessmentAttribute	+									newly issued stock that is in great public demand	economics
hotel	03542333	HotelBuilding	=	schema:Hotel	Hotel	Q27686	1475a					a building where travelers can pay for lodging and meals and other services	base
hour	15227846	HourDuration	=		Hour	Q25235						"a period of time equal to 1/24th of a day; ""the job will take more than an hour"""	base
hourglass	03544143	Device	+			Q179904	503000					a sandglass that runs for sixty minutes	base
house	03544360	House	=	schema:House	House	Q3947		Mx4rvVih-5wpEbGdrcN5Y29ycA				"a dwelling that serves as living quarters for one or more families; ""he has a house on Cap"	base
household-appliance	03528263	HomeAppliance	=			Q212920	604	Mx4rvViJk5wpEbGdrcN5Y29ycA				an appliance that does a particular job in the home	base
houseplant	13083023	FloweringPlant	+			Q203834						any of a variety of plants grown indoors for decorative purposes	base
housewife	10189776	Housewife	+			Q38126150						a wife who manages a household while her husband earns the family income	base
housing	03546340	Building	+			Q11326220	499768b	Mx4rPxTuyri5EdmAAAACs6hRjg				structures collectively in which people are housed	base
hovel	03547054	Building	+			Q182676						small crude shelter used as a dwelling	base
human	02472293	Hominid	=		Human	Q171283		Mx4rIcwFloGUQdeMlsOWYLFB2w				any living or extinct member of the family Hominidae characterized by superior intelligenc	base
human-body	05217168		=			Q23852						"alternative names for the body of a human being; ""Leonardo studied the human body""; ""he ha"	base
humanities	06153846	FieldOfStudy	@			Q80083						studies intended to provide general knowledge and intellectual skills (rather than occupat	base
humanness	04726938	Human	+									"the quality of being human; ""he feared the speedy decline of all manhood"""	base
hummus	07857731	PreparedFood	+			Q241987	5741					a thick spread made from mashed chickpeas, tahini, lemon juice and garlic; used especially	base
humor	04650201	TraitAttribute	+									"the trait of appreciating (and being able to express) the humorous; ""she didn't appreciate"	base
hunt	00452293	Hunting	+			Q36963						the pursuit and killing or capture of wild animals regarded as a sport	base
hunter	10193026	Human	+			Q1714828		Mx4rnO_PylYaEdqAAAACs71DGQ				someone who hunts game	base
hunting-expedition	00309906	Translocation	+			Q849944						an overland journey by hunters (especially in Africa)	base
husband	10193967	SocialRole	+			Q212878						a married man; a woman's partner in marriage	base
hutch	03550289	TrapOrCage	+			Q2067246	448b					a cage (usually made of wood and wire mesh) for small animals	base
hybrid	01327322	Organism	+			Q244145						(genetics) an organism that is the offspring of genetically dissimilar parents or stock; e	base
hygrometer	03554460	Device	+			Q183173	4754					measuring instrument for measuring the relative humidity of the atmosphere	base
hypothesis	05888929	Explanation	=		Hypothesis	Q41719		Mx4r_wNzb1-yQHyeygG7zfz6ng				a tentative insight into the natural world; a concept that is not yet verified but that if	base
ibuprofen	03556281	BiologicallyActiveSubstance	+			Q186969						a nonsteroidal anti-inflammatory and analgesic medicine (trade names Advil and Motrin and 	base
ice	14915184	Ice	=			Q23392		Mx8Ngh4rwPzX0JwpEbGdrcN5Y29ycB4rvVjAHZwpEbGdrcN5Y29ycA				"water frozen in the solid state; ""Americans like ice in their drinks"""	base
ice-cream	07614500	IceCream	=		Ice_cream	Q13233	499991a	Mx4rvVj1EpwpEbGdrcN5Y29ycA				frozen dessert containing cream and sugar and flavoring	base
ice-maker	03557692	IceMachine	+				4161	Mx4rvVjsRJwpEbGdrcN5Y29ycA				an appliance included in some electric refrigerators for making ice cubes	base
ice-pack	03557840	Device	+				4753					a waterproof bag filled with ice: applied to the body (especially the head) to cool or red	base
ice-skate	03558404	Device	+			Q108640	1057	Mx4rvVjioJwpEbGdrcN5Y29ycA				skate consisting of a boot with a steel blade fitted to the sole	base
icing	07620822	PreparedFood	+			Q29263	5769					a flavored sugar topping used to coat and decorate cakes	base
idea	05833840	Proposition	+		Idea	Q131841		Mx4rYE1C0EPuQdmEO6TZe_7NPA				"the content of cognition; the main thing you are thinking about; ""it was not a good idea"";"	base
ideal	10325243	SubjectiveAssessmentAttribute	+					Mx4rQw3ShjAGQdib1vMDMN65JQ				model of excellence or perfection of a kind; one having no equal	base
ideal-value	05923983	SubjectiveAssessmentAttribute	+									"an ideal accepted by some individual or group; ""he has old-fashioned values"""	base
identicalness	04743024	Attribute	+									"exact sameness; ""they shared an identity of interests"""	base
identification	06885083	ContentBearingObject	+									evidence of identity; something that identifies a person or thing	base
identity	04618070	TraitAttribute	+			Q609647						"the distinct personality of an individual regarded as a persisting entity; ""you can lose y"	base
identity-card	06477371	Certificate	+			Q4907731						"a card certifying the identity of the bearer; ""he had to show his card to get in"""	base
ignorance	05988282	Proposition	+			Q815577						the lack of knowledge or education	base
illness	14061805	DiseaseOrSyndrome	+			Q12136		Mx4rwQwYVpwpEbGdrcN5Y29ycA				impairment of normal physiological function affecting part or all of an organism	base
illusion	05896059	False	+			Q182593						"something many people believe that is false; ""they have the illusion that I am very wealth"	base
illustration	03561345	Icon	+		Illustration	Q178659		Mx4rX4mfJC9AQdifBesKphWfiQ				a visual representation (a picture or diagram) that is used make some subject more pleasin	base
image	03931044	Icon	+			Q478798		Mx4r1-G8dDi8Ed2AAAACs6hRXg				a visual representation (of an object or scene or person or abstraction) produced on a sur	base
imagination	05767733	Imagining	+			Q34516						"the ability to form mental images of things or events; ""he could still hear her in his ima"	base
immigrant	10199489	SocialRole	+			Q12364462		Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rdzoMHJmWEdaAAAACs1uxFx4rvViIeZwpEbGdrcN5Y29ycA				a person who comes to a country where they were not born in order to settle there	base
immigration	00056311	Immigrating	=			Q131288						migration into a place (especially migration to a country of which you are not a native in	base
impact	07338552	Impacting	=			Q4115667						the striking of one body against another	base
imperativeness	14451349	SubjectiveAssessmentAttribute	+									"the state of demanding notice or attention; ""the insistence of their hunger""; ""the press o"	base
impetus	05035820	FunctionQuantity	+									"an impelling force or strength; ""the car's momentum carried it off the road"""	base
implication	13860281	Proposition	+			Q7881229						a logical relation between propositions p and q of the form `if p then q'; if p is true th	base
implied-volatility						Q1660345							economics
import	03564667	Physical	+			Q62955						commodities (goods or services) bought from a foreign country	base
import-credit	13379264	CreditAccount	+									credit opened by an importer at a bank in his own country upon which an exporter may draw	economics
importance	05168261	SubjectiveAssessmentAttribute	+			Q1422583						"the quality of being important and worthy of note; ""the importance of a well-balanced diet"	base
importing	01111750	Transportation	+			Q62955						the commercial activity of buying and bringing in goods from a foreign country	economics
imposter	10201535	Human	+			Q1413522		Mx4rv9qHN5wpEbGdrcN5Y29ycA				a person who makes deceitful pretenses	base
impression	04675314	SubjectiveAssessmentAttribute	+									"an outward appearance; ""he made a good impression""; ""I wanted to create an impression of s"	base
improvement	14422179	SubjectiveAssessmentAttribute	+									"a condition superior to an earlier condition; ""the new school represents a great improveme"	base
impudence	06721813	Expressing	+									an impudent statement	base
incense	14918994	Substance	+			Q273131	3686					a substance that produces a fragrant odor when burned	base
incentive	09179776	Entity	+					Mx4r-GzvvhbxQdiOg_WXf8axVA				a positive motivational influence	base
incentive-option	00081395	Option	+									an option granted to corporate executives if the company achieves certain financial goals	economics
incertitude	05698247	PsychologicalAttribute	+									the state of being unsure of something	base
incident	07307477	Process	+									a single distinct event	base
inclination	06196584	TraitAttribute	=									"an attitude of mind especially one that favors one alternative over others; ""he had an inc"	base
income	13255145	CurrencyMeasure	+			Q1527264						the financial gain (earned or unearned) accruing over a given period of time	base
income-statement						Q243460		Mx4rOniDhHCXQGuMY3Z2x3Q0iA					economics
increase	13497135	Increasing	=									"a process of becoming larger or longer or more numerous or more important; ""the increase i"	base
increment	05108947	Quantity	+			Q4379011						"the amount by which something increases; ""they proposed an increase of 15 percent in the f"	base
indemnity	14539826	Attribute	+									protection against future loss	base
indent-order	06529879	PurchaseOrder	+									an order for goods to be exported or imported	economics
indenture	06772837	ServiceContract	+			Q17366057						a contract binding one party into the service of another for a specified term	economics
index	05567381	Finger	+			Q184848						the finger next to the thumb	base
index-fund	13359153	MutualFundAccount	+			Q1195348						a mutual fund whose assets are stocks on a given list	economics
indication	06797169	ContentBearingObject	=									"something that serves to indicate or suggest; ""an indication of foul play""; ""indications o"	base
indicator-needle	03816394	EngineeringComponent	+									a slender pointer for indicating the reading on the scale of a measuring instrument	base
indifference-curve						Q467092							economics
indigence	14493716	SubjectiveAssessmentAttribute	+			Q836994						"a state of extreme poverty or destitution; ""their indigence appalled him""; ""a general stat"	base
individual	10203839	Organism	+			Q795052						a single organism	base
inductor	03569014	InductorElement	+			Q5325	3121	Mx4r6W_-Nk8xEduAAAACs6hRXg				an electrical device (typically a conducting coil) that introduces inductance into a circu	base
industry	00923444	Manufacture	=		Industry	Q380342						"the organized action of making of goods and services for sale; ""American industry is makin"	base
infection	07360647	PathologicProcess	+			Q166231						an incident in which an infectious disease is transmitted	base
inflation	13498828	Inflation	+			Q35865						"a general and progressive increase in prices; ""in inflation everything gets more valuable "	base
inflation-indexed-bond						Q359180							economics
influence	05194151	SubjectiveAssessmentAttribute	+									"a power to affect persons or events especially power based on prestige etc; ""used her pare"	base
influence.phenomenon	11414608	Process	+									"the effect of one thing (or person) on another; ""the influence of mechanical action"""	base
influential-contact	09956147	SocialRole	+									(usually plural) a person who is influential and to whom you are connected in some way (as	base
influenza	14122497	Influenza	=			Q2840						an acute febrile highly contagious viral disease	base
informant	10205985	SocialRole	+			Q1364673						a person who supplies information	base
information	00033020	ContentBearingPhysical	=	schema:CreativeWork	CreativeWork	Q11028		Mx4rvf9sZJwpEbGdrcN5Y29ycA	BFO_0000031		InformationEntity	something that is communicated by or to or between people or groups	base
information-asymmetry						Q431965							economics
infrastructure	03570372	Artifact	+		Infrastructure	Q121359						the basic structure or features of a system or organization	base
ingredient	03570709	Substance	+		Ingredient	Q10675206	2660					a component of a mixture or compound	base
inhabitant	09620078	Inhabitant	=			Q22947						a person who inhabits a particular place	base
inhibition	01070892	IntentionalPsychologicalProcess	+									(psychology) the conscious exclusion of unacceptable thoughts or desires	base
initial	06830997	Character	+			Q29882054						"the first letter of a word (especially a person's name); ""he refused to put the initials F"	base
initial-coin-offering						Q30100943							economics
initial-public-offering	01094575	Selling	+			Q185142						a corporation's first offer to sell stock to the public	economics
injection	00697365	Injecting	=			Q245359						"the act of putting a liquid into the body by means of a syringe; ""the nurse gave him a flu"	base
injury	14285662	Injuring	=			Q1064904						any physical damage to the body caused by violence or accident or fracture etc.	base
innovation	03582658	Artifact	+			Q12579633						a creation (a new device or process) resulting from study and experimentation	base
input-device	03163973	ComputerInputDevice	+			Q864114	1928					a device that can be used to insert data into a computer or other computational device	base
inquest	00637810	Investigating	+									an inquiry into the cause of an unexpected death	base
insect	02159955	Insect	=			Q1390		Mx4rvVi495wpEbGdrcN5Y29ycA				small air-breathing arthropod	base
insert	03573282	Artifact	+				2801b	Mx4rWLnAEDDvQdiGo5_5aP7Mgg				an artifact that is inserted or is to be inserted	base
inside	08588294	Inside	=									the region that is inside of something	base
insider	10208583	SocialRole	+					Mx4rRYpn_DADQdiWodGMyvBeWw				an officer of a corporation or others who have access to private information about the cor	base
insider-trading	00080242	FinancialTransaction	+			Q854623		Mx4rB4odVE16QdmJodPDhaFQBQ				buying or selling corporate stock by a corporate officer or other insider on the basis of 	economics
insight	05807306	PsychologicalProcess	+			Q399754						the clear (and often sudden) understanding of a complex situation	base
insistence	01214557	Declaring	+									"the act of insisting on something; ""insistence on grammatical correctness is a conservativ"	base
insolvency	14478433	Attribute	+			Q26897130						"inability to discharge all your debts as they come due; ""the company had to declare bankru"	base
inspiration	05797473	PsychologicalProcess	+			Q105994608		Mx4rvVjAApwpEbGdrcN5Y29ycA				a sudden intuition as part of solving a problem	base
installation-charge	13324609	CurrencyMeasure	+									the charge for installing something	economics
installment	13301715	CurrencyMeasure	+			Q12055605						a payment of part of a debt; usually paid at regular intervals	economics
installment-credit	13375167	Loan	+									a loan repaid with interest in equal periodic payments	economics
installment-debt	13398859	Obligation	+									debt to be paid by installments	economics
installment-plan	13296593	Procedure	+									a system for paying for goods by installments	economics
instance	07308889	Entity	+			Q1664689						"an occurrence of something; ""it was a case of bad judgment""; ""another instance occurred ye"	base
instinct	05622723	PsychologicalAttribute	+			Q18237		Mx4rjY_F-izuQdiD6a7c6YjyJg				"inborn pattern of behavior often responsive to specific stimuli; ""the spawning instinct in"	base
institution	08053576	Organization	+		Institution			Mx4rQjPWFMh5EdmAAAACs6hRjg				an organization founded and united for a specific purpose	base
institutional-investor						Q1665188							economics
instrument	03574816	Device	+									a device that requires skill for proper use	base
insufficiency	05113133	SubjectiveAssessmentAttribute	+									"lack of an adequate quantity or number; ""the inadequacy of unemployment benefits"""	base
insulation	14920844	Object	+			Q918306	122	Mx4rvgEX5ZwpEbGdrcN5Y29ycA				a material that reduces or prevents the transmission of heat or sound or electricity	base
insurable-interest	13287540	FinancialInstrument	+									an interest in a person or thing that will support the issuance of an insurance policy; an	economics
insurance					Insurance	Q43183	1813b						economics
insurance-coverage	13344664	CurrencyMeasure	+									the total amount and type of insurance carried	base
insurance-policy						Q977871		Mx4rvViHtJwpEbGdrcN5Y29ycA					economics
insurgent	10210137	SocialRole	+					Mx4rPgOJJStlEdiUgQAH6RYvSQ				a person who takes part in an armed rebellion against the constituted authority (especiall	base
intangible-asset						Q427581		Mx4r6xgTKk2WQdmE8az0EW4U-w					economics
integrated-circuit	03577090	EngineeringComponent	+		Integrated_circuit	Q80831	7257a	Mx4ro4zGgzH8EdaeygACs0uFOQ				a microelectronic computer circuit incorporated into a chip or semiconductor; a whole syst	base
integration	01202415	Combining	+			Q48532						the action of incorporating a racial or religious group into a community	base
integrity	04869569	NormativeAttribute	+									"moral soundness; ""he expects to find in us the common honesty and integrity of men of busi"	base
intellect	05618849	PsychologicalAttribute	+			Q353284		Mx4rsfgh1i_-QdiU9qkX6M09fQ				"knowledge and intellectual ability; ""he reads to improve his mind""; ""he has a keen intelle"	base
intelligence	05617606	PsychologicalAttribute	+					Mx4rvVi345wpEbGdrcN5Y29ycA				the ability to comprehend; to understand and profit from experience	base
intelligence-service	08339454	Government	+									a unit responsible for gathering and interpreting information about an enemy	base
intended-use	05149325	Attribute	+									"what something is used for; ""the function of an auger is to bore holes""; ""ballet is beauti"	base
intent	06605897	Proposition	+									the intended meaning of a communication	base
intention	00163233	Selecting	+									"an act of intending; a volition that you intend to carry out; ""my intention changed once I"	base
interaction	00039021	Transaction	=									a mutual or reciprocal action; interacting	base
interbank-loan	13374887	Loan	+									a loan from one bank to another	economics
intercom	03578055	Device	+			Q2603074	360					a communication system linking different rooms within a building or ship etc	base
interest	13318584	RationalNumber	+			Q170924		Mx4rwKZ7cpwpEbGdrcN5Y29ycA				"a fixed charge for borrowing money; usually a percentage of the amount borrowed; ""how much"	base
interest-expense	13276519	Payment	+									interest paid on loans	economics
interest-rate	13319032	InterestRate	=		Interest_rate	Q179179						the percentage of a sum of money charged for its use	economics
interest-rate-swap						Q205258							economics
interface	06575227	ComputerProgram	+			Q47146		Mx4rvViOxZwpEbGdrcN5Y29ycA				(computer science) a program that controls a display for the user (usually on a computer m	base
interior-designer	10210648	Designer	+									a person who specializes in designing architectural interiors and their furnishings	base
intermediary						Q1666223		Mx4rTR7ycieNQdiGVvUKH2JTSw					economics
intermodal-container						Q187956							economics
internal-control	00806075	IntentionalProcess	+									an accounting procedure or system designed to promote efficiency or assure the implementat	economics
internal-rate-of-return						Q507477							economics
international-trade						Q178803							economics
internet	03580615	Internet	=			Q75						a computer network consisting of a worldwide network of computer networks that use the TCP	base
interoperability						Q749647							economics
intersection	03581125	RoadJunction	+			Q285783						a junction where one street or road crosses another	base
intervention	06661562	Law	+					Mx4r3g4szlprEd2AAAATco72kA				a policy of intervening in the affairs of other countries	base
interview	07196075	Questioning	+		Interview	Q4202018						the questioning of a person (or a conversation in which information is elicited); often co	base
intestine	05534333	Intestine	=			Q9639						the part of the alimentary canal between the stomach and the anus	base
intrinsic-value						Q3361981							economics
intro	07217349	Communication	+									formally making a person known to another or to the public	base
introduction	06396930	Communication	+			Q305178		Mx4rs6FGFEMZQdmKHpyJvz6ryQ				the first section of a communication	base
introductory-text	06414849	Book	+									a basic or elementary instructional text	base
intuition	05919034	Proposition	+			Q189222						"an impression that something might be the case; ""he had an intuition that something had go"	base
invasion	07429976	Arriving	+			Q25393359						"any entry into an area not previously occupied; ""an invasion of tourists""; ""an invasion of"	base
invention	05633385	Creation	+		Invention	Q12579633						the creation of something in the mind	base
inventory	13412533	WealthFn	+		Inventory	Q815410						(accounting) the value of a firm's current assets including raw materials and work in prog	economics
inventory-management						Q3761396							economics
inventory-turnover						Q1800351							economics
invertebrate	01905661	Invertebrate	=			Q43806		Mx4rvViYS5wpEbGdrcN5Y29ycA				any animal lacking a backbone or notochord; the term is not used as a scientific classific	base
investigator	10215623	Human	+									someone who investigates	base
investing	01099436	Investing	+					Mx4rvVjV2JwpEbGdrcN5Y29ycA				the act of investing; laying out money or capital in an enterprise with the expectation of	economics
investment	13333237	CurrencyMeasure	+			Q4201895						money that is invested with an expectation of profit	base
investor						Q557880		Mx4rv2mD3pwpEbGdrcN5Y29ycA					economics
invitation	07186148	Requesting	+				1371					"a request (spoken or written) to participate or be present or take part in something; ""an "	base
invoice	06516955	FinancialBill	+	schema:Invoice		Q190581						"an itemized statement of money owed for goods shipped or services rendered; ""he paid his b"	base
ipfs						Q21422344							economics
iron	14642417	Iron	=			Q677	5139a					a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts;	base
ironing-board	03586090	IroningBoard	=				633	Mx4rvVjPFJwpEbGdrcN5Y29ycA				narrow padded board on collapsible supports; used for ironing clothes	base
ironmonger	10216690	Position	+									"someone who sells hardware; ""in England they call a hardwareman an ironmonger"""	economics
ironware	03493792	Artifact	+			Q2823342						instrumentalities (tools or implements) made of metal	base
island	09316454	Island	=		Island	Q752523	442b					a land mass (smaller than a continent) that is surrounded by water	base
isolation	14414715	PsychologicalAttribute	+					Mx4rboZtEhJpSQGNqaKjopKEIg				a state of separation between persons or groups	base
isotropy	04917439	Attribute	+			Q273163						(physics) the property of being isotropic; having the same value when measured in differen	base
issue	05814650	Proposition	+			Q28869365						"an important question that is in dispute and must be settled; ""the issue could be settled "	base
item	05817845	Fact	=									"an isolated fact that is considered separately from the whole; ""several of the details are"	base
iteration	13504173	Process	+			Q651022						"(computer science) a single execution of a set of instructions that are to be repeated; ""t"	base
ivory	14757547	Ivory	+			Q185635		Mx4rvVjL-5wpEbGdrcN5Y29ycA				a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walru	base
jack	03588951	Device	+			Q272882	503771a					tool for exerting pressure or lifting	base
jacket	03589791	Coat	=		Jacket	Q849964	5598b	Mx4rvViWxZwpEbGdrcN5Y29ycA				a short coat	base
jail-cell	02991302	Room	+			Q686534		Mx4rvw6oFpwpEbGdrcN5Y29ycA				a room where a prisoner is kept	base
jam	07642933	PreparedFood	+			Q1269	2188a	Mx4rwJYUXJwpEbGdrcN5Y29ycA				preserve of crushed fruit	base
jar	03593526	Artifact	+		Jar	Q1207302		Mx4rvVj_OJwpEbGdrcN5Y29ycA				a vessel (usually cylindrical) with a wide mouth and without handles	base
javelin	03594148	Spear	+			Q3757641	3389	Mx4rvVjFv5wpEbGdrcN5Y29ycA				a spear thrown as a weapon or in competitive field events	base
